;id;afavor;n;total;trimestre;perc_governismo
384;1220603;377.0;496.0;76.0;2023-03-31;80.0
385;1220604;446.0;502.0;89.0;2023-03-31;83.0
386;1220605;540.0;574.0;94.0;2023-03-31;100.0
387;1220606;536.0;547.0;98.0;2023-03-31;100.0
388;1220607;516.0;569.0;91.0;2023-03-31;100.0
389;1220608;276.0;546.0;51.0;2023-03-31;86.0
390;1220609;239.0;498.0;48.0;2023-03-31;88.0
391;1220610;173.0;507.0;34.0;2023-03-31;86.0
392;1220611;145.0;567.0;26.0;2023-03-31;50.0
393;1220612;513.0;602.0;85.0;2023-03-31;100.0
394;1220613;164.0;570.0;29.0;2023-03-31;71.0
395;1220615;490.0;585.0;84.0;2023-03-31;63.0
396;1220616;366.0;484.0;76.0;2023-03-31;67.0
397;1220617;446.0;531.0;84.0;2023-03-31;100.0
398;1220618;350.0;522.0;67.0;2023-03-31;86.0
399;1220619;122.0;658.0;19.0;2023-03-31;50.0
400;1220620;265.0;576.0;46.0;2023-03-31;71.0
401;1220621;108.0;589.0;18.0;2023-03-31;60.0
402;1220622;440.0;505.0;87.0;2023-03-31;86.0
403;1220623;423.0;480.0;88.0;2023-03-31;86.0
404;1220624;485.0;633.0;77.0;2023-03-31;67.0
405;1220625;335.0;448.0;75.0;2023-03-31;71.0
406;1220626;339.0;566.0;60.0;2023-03-31;86.0
407;1220628;118.0;511.0;23.0;2023-03-31;50.0
408;1220629;457.0;467.0;98.0;2023-03-31;100.0
409;1220630;431.0;580.0;74.0;2023-03-31;100.0
410;1220631;416.0;525.0;79.0;2023-03-31;57.0
411;1220632;550.0;565.0;97.0;2023-03-31;86.0
412;1220633;70.0;429.0;16.0;2023-03-31;80.0
413;1220635;458.0;553.0;83.0;2023-03-31;88.0
414;1220638;290.0;568.0;51.0;2023-03-31;75.0
415;1220639;428.0;512.0;84.0;2023-03-31;63.0
416;1220640;469.0;488.0;96.0;2023-03-31;100.0
417;1220641;478.0;547.0;87.0;2023-03-31;100.0
418;1220642;212.0;257.0;82.0;2023-03-31;
419;1220644;186.0;605.0;31.0;2023-03-31;75.0
420;1220645;360.0;429.0;84.0;2023-03-31;67.0
421;1220646;284.0;322.0;88.0;2023-03-31;100.0
422;1220647;293.0;364.0;80.0;2023-03-31;100.0
423;1220648;376.0;469.0;80.0;2023-03-31;88.0
424;1220649;290.0;429.0;68.0;2023-03-31;100.0
425;1220650;374.0;511.0;73.0;2023-03-31;100.0
426;1220651;298.0;426.0;70.0;2023-03-31;67.0
427;1220652;142.0;600.0;24.0;2023-03-31;63.0
428;1220653;327.0;522.0;63.0;2023-03-31;60.0
429;1220654;119.0;651.0;18.0;2023-03-31;33.0
430;1220655;94.0;485.0;19.0;2023-03-31;50.0
431;1220656;469.0;602.0;78.0;2023-03-31;100.0
432;1220657;88.0;426.0;21.0;2023-03-31;50.0
433;1220658;391.0;477.0;82.0;2023-03-31;100.0
434;1220659;199.0;526.0;38.0;2023-03-31;57.0
435;1220660;346.0;408.0;85.0;2023-03-31;56.0
436;1220661;209.0;409.0;51.0;2023-03-31;
437;1220662;523.0;550.0;95.0;2023-03-31;100.0
438;1220663;516.0;546.0;95.0;2023-03-31;100.0
439;1220664;503.0;547.0;92.0;2023-03-31;100.0
440;1220665;128.0;458.0;28.0;2023-03-31;88.0
441;1220666;150.0;613.0;24.0;2023-03-31;50.0
442;1220667;561.0;580.0;97.0;2023-03-31;100.0
443;1220668;552.0;571.0;97.0;2023-03-31;100.0
444;1220669;438.0;509.0;86.0;2023-03-31;100.0
445;1220670;436.0;478.0;91.0;2023-03-31;100.0
446;1220671;553.0;562.0;98.0;2023-03-31;100.0
447;1220672;441.0;512.0;86.0;2023-03-31;100.0
448;1220673;116.0;518.0;22.0;2023-03-31;40.0
449;1220674;306.0;358.0;85.0;2023-03-31;83.0
450;1220675;424.0;487.0;87.0;2023-03-31;100.0
451;1220676;394.0;447.0;88.0;2023-03-31;100.0
452;1220677;446.0;499.0;89.0;2023-03-31;100.0
453;1220681;324.0;366.0;89.0;2023-03-31;100.0
454;1220682;518.0;538.0;96.0;2023-03-31;100.0
455;1220683;453.0;582.0;78.0;2023-03-31;88.0
456;1220684;349.0;472.0;74.0;2023-03-31;88.0
457;1220685;411.0;540.0;76.0;2023-03-31;100.0
458;1220686;521.0;582.0;90.0;2023-03-31;83.0
459;1220687;369.0;419.0;88.0;2023-03-31;100.0
460;1220688;544.0;556.0;98.0;2023-03-31;100.0
461;1220689;139.0;292.0;48.0;2023-03-31;
462;1220690;138.0;581.0;24.0;2023-03-31;67.0
463;1220691;525.0;600.0;88.0;2023-03-31;100.0
464;1220692;403.0;468.0;86.0;2023-03-31;75.0
465;1220693;115.0;439.0;26.0;2023-03-31;75.0
466;1220694;438.0;489.0;90.0;2023-03-31;100.0
467;1220695;420.0;510.0;82.0;2023-03-31;86.0
468;1220696;541.0;553.0;98.0;2023-03-31;100.0
469;1220697;374.0;418.0;89.0;2023-03-31;100.0
470;1220699;463.0;506.0;92.0;2023-03-31;100.0
471;1220700;502.0;506.0;99.0;2023-03-31;100.0
472;1220701;495.0;574.0;86.0;2023-03-31;88.0
473;1220702;245.0;318.0;77.0;2023-03-31;71.0
474;1220703;480.0;541.0;89.0;2023-03-31;100.0
475;1220704;429.0;433.0;99.0;2023-03-31;100.0
476;1220706;158.0;302.0;52.0;2023-03-31;80.0
477;1220707;320.0;355.0;90.0;2023-03-31;75.0
478;1220708;533.0;582.0;92.0;2023-03-31;86.0
479;1220712;294.0;349.0;84.0;2023-03-31;67.0
480;1220714;477.0;569.0;84.0;2023-03-31;83.0
481;1220715;341.0;468.0;73.0;2023-03-31;50.0
482;1221148;584.0;593.0;98.0;2023-03-31;100.0
